date,product_id,category,state,city,store_format,season,price,discount,past_sales,stock_on_hand,reorder_level,lead_time_days,demand
2023-04-08,IN-SKU-10000,Home Care,Tamil Nadu,Coimbatore,Convenience Store,summer,143.1,17,312.0,324,144,6,243.42
2025-07-09,IN-SKU-10001,Electronics,Kerala,Thiruvananthapuram,Convenience Store,monsoon,23152.53,15,153.0,110,105,6,8.0
2025-07-29,IN-SKU-10002,Home Care,Tamil Nadu,Chennai,Hypermarket,monsoon,730.37,25,287.0,331,136,6,233.06
2024-06-29,IN-SKU-10003,Personal Care,Maharashtra,Pune,Convenience Store,summer,872.71,6,117.0,168,167,5,136.46
2024-05-22,IN-SKU-10004,FMCG,Maharashtra,Nagpur,Convenience Store,summer,216.42,19,269.0,300,130,3,234.63
2024-04-21,IN-SKU-10005,Perishables,Tamil Nadu,Coimbatore,Convenience Store,summer,56.34,15,79.0,22,153,9,192.19
2024-05-31,IN-SKU-10006,Staples,Tamil Nadu,Chennai,Convenience Store,summer,129.58,32,54.0,287,104,4,133.16
2023-03-28,IN-SKU-10007,Staples,Tamil Nadu,Coimbatore,Hypermarket,summer,228.89,26,29.0,194,91,7,143.73
2025-12-23,IN-SKU-10008,FMCG,Delhi NCR,Delhi,Supermarket,winter,156.84,9,218.0,242,62,5,231.1
2024-03-24,IN-SKU-10009,FMCG,Kerala,Thiruvananthapuram,Supermarket,summer,72.37,33,236.0,204,139,8,244.9
2025-10-25,IN-SKU-10010,Staples,Maharashtra,Pune,Hypermarket,festival,227.41,28,209.0,164,126,8,266.57
2024-01-07,IN-SKU-10011,Personal Care,Delhi NCR,Gurugram,Supermarket,winter,874.11,37,253.0,306,80,4,223.88
2023-03-28,IN-SKU-10012,Staples,Maharashtra,Pune,Supermarket,summer,230.1,37,193.0,90,118,9,245.44
2024-06-24,IN-SKU-10013,Personal Care,Tamil Nadu,Coimbatore,Convenience Store,summer,605.87,17,45.0,186,147,7,119.97
2023-07-26,IN-SKU-10014,FMCG,Telangana,Warangal,Convenience Store,monsoon,105.8,5,297.0,252,178,4,245.29
2023-11-20,IN-SKU-10015,Staples,Maharashtra,Mumbai,Convenience Store,festival,95.05,39,165.0,216,135,4,265.6
2024-08-17,IN-SKU-10016,Perishables,Kerala,Kozhikode,Hypermarket,monsoon,134.12,10,26.0,350,94,4,125.29
2023-11-28,IN-SKU-10017,Personal Care,Karnataka,Bengaluru,Supermarket,festival,613.92,4,238.0,327,171,8,205.12
2025-12-04,IN-SKU-10018,Staples,Telangana,Hyderabad,Hypermarket,winter,547.02,1,262.0,146,175,6,231.35
2024-11-12,IN-SKU-10019,Electronics,Karnataka,Mysuru,Supermarket,festival,1878.31,10,150.0,416,175,4,223.12
2025-07-15,IN-SKU-10020,Staples,Delhi NCR,Delhi,Supermarket,monsoon,512.07,36,218.0,169,100,5,239.62
2024-02-21,IN-SKU-10021,Perishables,Telangana,Hyderabad,Supermarket,winter,236.09,38,65.0,91,145,10,180.57
2023-11-04,IN-SKU-10022,Electronics,Telangana,Warangal,Hypermarket,festival,4585.6,31,24.0,111,68,10,149.29
2025-11-28,IN-SKU-10023,Personal Care,Maharashtra,Mumbai,Convenience Store,festival,227.81,20,261.0,306,48,9,250.87
2024-04-20,IN-SKU-10024,Perishables,Maharashtra,Pune,Supermarket,summer,147.03,38,218.0,402,87,6,245.83
2024-07-01,IN-SKU-10025,Personal Care,Maharashtra,Pune,Supermarket,monsoon,177.89,22,145.0,406,45,8,170.64
2025-03-20,IN-SKU-10026,Home Care,Tamil Nadu,Chennai,Supermarket,summer,153.13,19,268.0,338,78,4,226.17
2025-04-18,IN-SKU-10027,Personal Care,Karnataka,Mysuru,Hypermarket,summer,374.31,35,147.0,280,60,10,186.38
2024-08-04,IN-SKU-10028,Home Care,Telangana,Hyderabad,Convenience Store,monsoon,150.54,9,39.0,257,109,9,122.45
2023-12-16,IN-SKU-10029,Electronics,Telangana,Warangal,Supermarket,winter,8437.09,5,66.0,66,106,7,73.98
2023-08-02,IN-SKU-10030,Personal Care,Telangana,Warangal,Convenience Store,monsoon,390.65,2,115.0,221,177,9,115.42
2024-08-11,IN-SKU-10031,Perishables,Maharashtra,Pune,Supermarket,monsoon,168.52,7,144.0,39,83,10,180.35
2025-09-06,IN-SKU-10032,FMCG,Maharashtra,Mumbai,Online,monsoon,76.13,34,273.0,381,153,9,276.34
2024-09-26,IN-SKU-10033,Home Care,Tamil Nadu,Coimbatore,Supermarket,monsoon,439.17,26,174.0,363,175,4,177.71
2025-01-22,IN-SKU-10034,FMCG,Karnataka,Bengaluru,Hypermarket,winter,208.01,10,89.0,167,90,7,165.72
2024-04-20,IN-SKU-10035,Perishables,Kerala,Kochi,Online,,258.25,28,164.0,151,148,9,236.37
2024-06-20,IN-SKU-10036,Staples,Karnataka,Bengaluru,Convenience Store,summer,219.33,32,240.0,100,49,3,240.56
2025-11-09,IN-SKU-10037,Personal Care,Karnataka,Mysuru,Supermarket,festival,846.19,3,61.0,403,174,8,141.84
2024-05-02,IN-SKU-10038,Electronics,Tamil Nadu,Coimbatore,Supermarket,summer,16788.58,32,48.0,266,115,2,50.31
2023-01-09,IN-SKU-10039,Staples,Karnataka,Bengaluru,Convenience Store,winter,528.54,19,167.0,259,76,6,197.0
2025-05-11,IN-SKU-10040,Personal Care,Maharashtra,Nagpur,Hypermarket,summer,710.43,3,221.0,153,143,3,191.74
2024-11-26,IN-SKU-10041,Perishables,Telangana,Warangal,Supermarket,festival,58.42,14,300.0,195,119,2,308.8
2023-07-12,IN-SKU-10042,Home Care,Karnataka,Mysuru,Hypermarket,monsoon,332.16,38,315.0,307,45,7,288.85
