product_id,category,price,past_sales,season,discount,demand
P1000,Groceries,430.43,127.0,winter,4,99.99
P1001,Beauty,71.03,136.0,festival,22,152.2
P1002,Clothing,119.8,134.0,winter,4,121.7
P1003,Home Decor,182.43,24.0,festival,49,118.37
P1004,Clothing,83.91,82.0,summer,37,124.86
P1005,Beauty,239.02,130.0,winter,9,109.05
P1006,Home Decor,417.68,112.0,winter,32,109.94
P1007,Beauty,,49.0,winter,34,98.15
P1008,Beauty,354.94,129.0,festival,14,123.66
P1009,Beauty,336.85,109.0,summer,24,107.2
P1010,Home Decor,157.54,95.0,winter,30,121.16
P1011,Groceries,123.1,134.0,festival,2,147.46
P1012,Groceries,334.84,95.0,festival,20,132.27
P1013,Clothing,363.4,116.0,summer,23,113.97
P1014,Clothing,195.46,115.0,winter,12,109.21
P1015,Electronics,481.25,68.0,summer,46,118.47
P1016,Electronics,229.09,127.0,festival,37,145.4
P1017,Electronics,158.53,132.0,summer,29,125.01
P1018,Clothing,316.64,119.0,winter,7,117.68
P1019,Home Decor,251.04,42.0,summer,16,59.35
P1020,Beauty,,,festival,22,85.73
P1021,Clothing,393.11,24.0,winter,4,53.04
P1022,Groceries,139.35,97.0,winter,48,153.58
P1023,Electronics,448.91,93.0,festival,7,96.58
P1024,Groceries,365.68,55.0,,47,100.99
P1025,Beauty,280.99,94.0,summer,18,90.25
P1026,Electronics,261.41,153.0,summer,46,168.55
P1027,Electronics,496.25,36.0,winter,45,79.57
P1028,Groceries,387.83,90.0,summer,17,118.03
P1029,Home Decor,468.91,152.0,summer,12,99.89
P1030,Beauty,438.28,40.0,winter,2,40.43
P1031,Electronics,78.8,150.0,winter,0,130.77
P1032,Toys,349.58,32.0,winter,39,84.36
P1033,Home Decor,72.48,77.0,festival,6,103.65
P1034,Groceries,478.17,85.0,festival,26,138.38
P1035,Electronics,60.1,119.0,festival,7,140.42
P1036,Electronics,237.95,150.0,festival,32,148.97
P1037,Beauty,122.46,63.0,festival,27,134.07
P1038,Electronics,217.53,74.0,winter,5,98.37
P1039,Home Decor,375.04,136.0,summer,41,132.64
P1040,Clothing,160.68,36.0,festival,47,135.51
P1041,Groceries,64.82,93.0,summer,1,98.93
P1042,Clothing,201.67,100.0,festival,42,142.47
P1043,Electronics,97.3,143.0,summer,12,126.23
P1044,Electronics,265.69,22.0,winter,45,107.28
P1045,Groceries,423.04,131.0,summer,46,157.74
P1046,Home Decor,74.2,108.0,festival,42,135.82
P1047,Home Decor,322.67,51.0,winter,13,71.47
P1048,Home Decor,188.27,48.0,winter,37,93.95
P1049,Electronics,458.84,138.0,festival,24,143.33
P1050,Clothing,270.1,109.0,festival,39,132.54
P1051,Home Decor,431.47,148.0,festival,6,147.38
P1052,Home Decor,75.6,27.0,festival,48,132.1
P1053,Toys,473.45,28.0,festival,12,78.09
P1054,Groceries,237.26,96.0,winter,34,148.51
P1055,Home Decor,466.17,137.0,winter,6,114.89
P1056,Beauty,338.25,75.0,festival,37,128.21
P1057,Clothing,162.7,60.0,winter,8,72.34
P1058,Beauty,280.07,70.0,festival,48,141.55
P1059,Toys,361.14,137.0,festival,48,148.53
P1060,Groceries,345.56,32.0,winter,27,69.22
P1061,Groceries,225.62,16.0,winter,15,60.68
P1062,Clothing,147.68,159.0,festival,39,166.13
P1063,Toys,52.5,113.0,festival,45,154.79
P1064,Toys,456.03,127.0,summer,14,118.79
P1065,Home Decor,402.33,154.0,festival,12,151.99
P1066,Toys,351.48,149.0,festival,41,172.38
P1067,Toys,426.76,80.0,festival,7,96.2
P1068,Groceries,308.88,117.0,festival,25,152.13
P1069,Groceries,93.18,68.0,festival,4,100.04
P1070,Home Decor,289.63,128.0,festival,22,133.42
P1071,Groceries,327.42,79.0,festival,47,137.18
P1072,Toys,73.97,83.0,summer,48,132.89
P1073,Electronics,210.61,37.0,festival,20,73.51
P1074,Toys,241.27,20.0,winter,7,52.98
P1075,Electronics,329.0,104.0,festival,16,105.92
P1076,Home Decor,260.27,105.0,winter,41,136.01
P1077,Beauty,401.54,50.0,winter,16,79.67
P1078,Groceries,35.34,25.0,festival,3,94.57
P1079,Electronics,15.22,78.0,festival,42,158.31
P1080,Electronics,187.54,102.0,summer,25,111.19
P1081,Toys,355.06,124.0,festival,19,148.29
P1082,Beauty,89.63,91.0,summer,21,108.93
P1083,Toys,77.67,87.0,festival,22,130.84
P1084,Groceries,82.13,77.0,winter,15,105.84
P1085,Electronics,249.18,159.0,summer,29,134.32
P1086,Toys,327.38,137.0,festival,20,143.66
P1087,Beauty,174.52,150.0,winter,43,179.39
P1088,Clothing,296.86,88.0,festival,6,99.41
P1089,Toys,204.09,159.0,summer,46,182.33
P1090,Electronics,464.31,42.0,summer,35,65.69
P1091,Clothing,353.89,91.0,summer,32,127.69
P1092,Toys,362.58,125.0,festival,14,128.24
P1093,Toys,224.52,109.0,festival,28,127.14
P1094,Groceries,376.99,56.0,festival,32,112.11
P1095,Clothing,492.89,139.0,winter,23,130.5
P1096,Home Decor,402.61,27.0,winter,13,52.06
P1097,Toys,61.77,150.0,summer,34,156.15
P1098,Beauty,32.09,122.0,festival,46,176.38
P1099,Electronics,341.23,91.0,winter,1,82.37
P1100,Electronics,179.23,49.0,festival,39,106.09
P1101,Toys,444.19,140.0,summer,9,96.88
